   Elapsed time	   MLII	     V5
         10.208	 -0.325	 -0.245
         10.211	 -0.320	 -0.240
         10.214	 -0.325	 -0.235
         10.217	 -0.305	 -0.215
         10.219	 -0.295	 -0.220
         10.222	 -0.300	 -0.220
         10.225	 -0.290	 -0.225
         10.228	 -0.295	 -0.220
         10.231	 -0.290	 -0.215
         10.233	 -0.290	 -0.205
         10.236	 -0.285	 -0.215
         10.239	 -0.285	 -0.215
         10.242	 -0.285	 -0.225
         10.244	 -0.290	 -0.225
         10.247	 -0.290	 -0.215
         10.250	 -0.285	 -0.190
         10.253	 -0.270	 -0.195
         10.256	 -0.270	 -0.210
         10.258	 -0.280	 -0.205
         10.261	 -0.290	 -0.205
         10.264	 -0.285	 -0.200
         10.267	 -0.275	 -0.205
         10.269	 -0.275	 -0.205
         10.272	 -0.275	 -0.205
         10.275	 -0.290	 -0.215
         10.278	 -0.305	 -0.210
         10.281	 -0.305	 -0.210
         10.283	 -0.300	 -0.200
         10.286	 -0.280	 -0.200
         10.289	 -0.290	 -0.205
         10.292	 -0.305	 -0.220
         10.294	 -0.315	 -0.210
         10.297	 -0.310	 -0.200
         10.300	 -0.295	 -0.200
         10.303	 -0.290	 -0.195
         10.306	 -0.300	 -0.215
         10.308	 -0.305	 -0.215
         10.311	 -0.305	 -0.220
         10.314	 -0.310	 -0.210
         10.317	 -0.300	 -0.210
         10.319	 -0.295	 -0.210
         10.322	 -0.305	 -0.215
         10.325	 -0.305	 -0.225
         10.328	 -0.315	 -0.230
         10.331	 -0.310	 -0.215
         10.333	 -0.310	 -0.215
         10.336	 -0.295	 -0.215
         10.339	 -0.300	 -0.220
         10.342	 -0.305	 -0.230
         10.344	 -0.310	 -0.220
         10.347	 -0.305	 -0.205
         10.350	 -0.305	 -0.200
         10.353	 -0.295	 -0.220
         10.356	 -0.300	 -0.225
         10.358	 -0.315	 -0.240
         10.361	 -0.325	 -0.230
         10.364	 -0.320	 -0.230
         10.367	 -0.320	 -0.215
         10.369	 -0.315	 -0.225
         10.372	 -0.310	 -0.220
         10.375	 -0.325	 -0.235
         10.378	 -0.335	 -0.225
         10.381	 -0.330	 -0.225
         10.383	 -0.320	 -0.210
         10.386	 -0.320	 -0.225
         10.389	 -0.310	 -0.225
         10.392	 -0.330	 -0.225
         10.394	 -0.330	 -0.230
         10.397	 -0.325	 -0.220
         10.400	 -0.310	 -0.210
         10.403	 -0.305	 -0.220
         10.406	 -0.305	 -0.215
         10.408	 -0.320	 -0.230
         10.411	 -0.330	 -0.235
         10.414	 -0.325	 -0.215
         10.417	 -0.300	 -0.210
         10.419	 -0.310	 -0.215
         10.422	 -0.305	 -0.225
         10.425	 -0.315	 -0.225
         10.428	 -0.330	 -0.235
         10.431	 -0.330	 -0.230
         10.433	 -0.330	 -0.215
         10.436	 -0.320	 -0.225
         10.439	 -0.325	 -0.220
         10.442	 -0.325	 -0.230
         10.444	 -0.335	 -0.225
         10.447	 -0.325	 -0.220
         10.450	 -0.315	 -0.210
         10.453	 -0.310	 -0.215
         10.456	 -0.315	 -0.220
         10.458	 -0.320	 -0.220
         10.461	 -0.325	 -0.225
         10.464	 -0.315	 -0.210
         10.467	 -0.310	 -0.205
         10.469	 -0.305	 -0.215
         10.472	 -0.310	 -0.225
         10.475	 -0.315	 -0.230
         10.478	 -0.320	 -0.240
         10.481	 -0.315	 -0.225
         10.483	 -0.310	 -0.205
         10.486	 -0.295	 -0.215
         10.489	 -0.295	 -0.215
         10.492	 -0.305	 -0.220
         10.494	 -0.310	 -0.230
         10.497	 -0.300	 -0.225
         10.500	 -0.280	 -0.215
         10.503	 -0.275	 -0.225
         10.506	 -0.265	 -0.220
         10.508	 -0.275	 -0.220
         10.511	 -0.275	 -0.225
         10.514	 -0.260	 -0.195
         10.517	 -0.240	 -0.195
         10.519	 -0.240	 -0.205
         10.522	 -0.235	 -0.200
         10.525	 -0.240	 -0.200
         10.528	 -0.235	 -0.195
         10.531	 -0.225	 -0.190
         10.533	 -0.215	 -0.170
         10.536	 -0.205	 -0.170
         10.539	 -0.205	 -0.180
         10.542	 -0.210	 -0.180
         10.544	 -0.215	 -0.185
         10.547	 -0.220	 -0.170
         10.550	 -0.220	 -0.165
         10.553	 -0.215	 -0.180
         10.556	 -0.220	 -0.175
         10.558	 -0.220	 -0.185
         10.561	 -0.230	 -0.175
         10.564	 -0.230	 -0.170
         10.567	 -0.240	 -0.150
         10.569	 -0.210	 -0.150
         10.572	 -0.220	 -0.155
         10.575	 -0.230	 -0.180
         10.578	 -0.255	 -0.180
         10.581	 -0.235	 -0.170
         10.583	 -0.210	 -0.175
         10.586	 -0.190	 -0.180
         10.589	 -0.205	 -0.190
         10.592	 -0.225	 -0.195
         10.594	 -0.260	 -0.200
         10.597	 -0.275	 -0.190
         10.600	 -0.280	 -0.185
         10.603	 -0.285	 -0.200
         10.606	 -0.305	 -0.195
         10.608	 -0.320	 -0.215
         10.611	 -0.315	 -0.210
         10.614	 -0.335	 -0.200
         10.617	 -0.325	 -0.195
         10.619	 -0.335	 -0.205
         10.622	 -0.320	 -0.220
         10.625	 -0.325	 -0.215
         10.628	 -0.320	 -0.225
         10.631	 -0.325	 -0.225
         10.633	 -0.325	 -0.210
         10.636	 -0.310	 -0.205
         10.639	 -0.305	 -0.210
         10.642	 -0.320	 -0.225
         10.644	 -0.320	 -0.230
         10.647	 -0.330	 -0.215
         10.650	 -0.320	 -0.200
         10.653	 -0.320	 -0.215
         10.656	 -0.330	 -0.220
         10.658	 -0.330	 -0.225
         10.661	 -0.360	 -0.210
         10.664	 -0.355	 -0.210
         10.667	 -0.330	 -0.200
         10.669	 -0.325	 -0.210
         10.672	 -0.325	 -0.215
         10.675	 -0.335	 -0.225
         10.678	 -0.350	 -0.235
         10.681	 -0.340	 -0.240
         10.683	 -0.345	 -0.255
         10.686	 -0.355	 -0.290
         10.689	 -0.385	 -0.310
         10.692	 -0.425	 -0.335
         10.694	 -0.450	 -0.360
         10.697	 -0.470	 -0.350
         10.700	 -0.485	 -0.285
         10.703	 -0.510	 -0.175
         10.706	 -0.515	 -0.050
         10.708	 -0.455	  0.075
         10.711	 -0.325	  0.190
         10.714	 -0.165	  0.315
         10.717	  0.010	  0.430
         10.719	  0.250	  0.545
         10.722	  0.515	  0.655
         10.725	  0.740	  0.655
         10.728	  0.885	  0.505
         10.731	  0.935	  0.210
         10.733	  0.835	 -0.090
         10.736	  0.525	 -0.275
         10.739	  0.120	 -0.290
         10.742	 -0.230	 -0.265
         10.744	 -0.425	 -0.250
         10.747	 -0.455	 -0.255
         10.750	 -0.420	 -0.230
         10.753	 -0.380	 -0.230
         10.756	 -0.360	 -0.250
         10.758	 -0.365	 -0.255
         10.761	 -0.375	 -0.255
         10.764	 -0.380	 -0.250
         10.767	 -0.355	 -0.235
         10.769	 -0.355	 -0.250
         10.772	 -0.370	 -0.250
         10.775	 -0.375	 -0.265
         10.778	 -0.385	 -0.255
         10.781	 -0.380	 -0.250
         10.783	 -0.365	 -0.240
         10.786	 -0.370	 -0.245
         10.789	 -0.370	 -0.255
         10.792	 -0.365	 -0.255
         10.794	 -0.380	 -0.265
         10.797	 -0.370	 -0.240
         10.800	 -0.375	 -0.240
         10.803	 -0.365	 -0.255
         10.806	 -0.370	 -0.255
         10.808	 -0.380	 -0.265
         10.811	 -0.375	 -0.260
         10.814	 -0.365	 -0.250
         10.817	 -0.360	 -0.255
         10.819	 -0.360	 -0.255
         10.822	 -0.355	 -0.255
         10.825	 -0.355	 -0.255
         10.828	 -0.370	 -0.250
         10.831	 -0.365	 -0.245
         10.833	 -0.355	 -0.225
         10.836	 -0.350	 -0.230
         10.839	 -0.350	 -0.245
         10.842	 -0.350	 -0.255
         10.844	 -0.360	 -0.260
         10.847	 -0.360	 -0.245
         10.850	 -0.360	 -0.245
         10.853	 -0.350	 -0.245
         10.856	 -0.355	 -0.240
         10.858	 -0.365	 -0.250
         10.861	 -0.370	 -0.245
         10.864	 -0.360	 -0.245
         10.867	 -0.350	 -0.240
         10.869	 -0.355	 -0.240
         10.872	 -0.350	 -0.250
         10.875	 -0.355	 -0.265
         10.878	 -0.370	 -0.255
         10.881	 -0.375	 -0.240
         10.883	 -0.360	 -0.240
         10.886	 -0.350	 -0.240
         10.889	 -0.345	 -0.255
         10.892	 -0.350	 -0.260
         10.894	 -0.370	 -0.260
         10.897	 -0.370	 -0.255
         10.900	 -0.355	 -0.255
         10.903	 -0.350	 -0.250
         10.906	 -0.345	 -0.260
         10.908	 -0.360	 -0.275
         10.911	 -0.370	 -0.280
         10.914	 -0.365	 -0.280
         10.917	 -0.360	 -0.270
         10.919	 -0.350	 -0.265
         10.922	 -0.355	 -0.285
         10.925	 -0.365	 -0.290
         10.928	 -0.365	 -0.280
         10.931	 -0.370	 -0.280
         10.933	 -0.365	 -0.275
         10.936	 -0.350	 -0.295
         10.939	 -0.350	 -0.305
         10.942	 -0.360	 -0.310
         10.944	 -0.360	 -0.310
         10.947	 -0.355	 -0.320
         10.950	 -0.345	 -0.305
         10.953	 -0.350	 -0.320
         10.956	 -0.345	 -0.345
         10.958	 -0.355	 -0.350
         10.961	 -0.370	 -0.355
         10.964	 -0.365	 -0.355
         10.967	 -0.355	 -0.350
         10.969	 -0.360	 -0.350
         10.972	 -0.365	 -0.360
         10.975	 -0.365	 -0.380
         10.978	 -0.380	 -0.385
         10.981	 -0.385	 -0.380
         10.983	 -0.375	 -0.380
         10.986	 -0.370	 -0.375
         10.989	 -0.375	 -0.385
         10.992	 -0.385	 -0.395
         10.994	 -0.395	 -0.380
         10.997	 -0.375	 -0.390
